ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
SM-C04-17;MONTIEL 553, TANDIL;0;8;-37,3217411;-59,1228801
SM-C04-21;Montiel 461, TANDIL;1;15;-37,3230354;-59,1222783
SM-C04-31;Montiel 204, TANDIL;1;15;-37,3259995;-59,12043033
SM-C04-32;Montiel 197, TANDIL;15;1;-37,3262638;-59,1203352
SM-C04-33;Montiel 165, TANDIL;0;8;-37,326555;-59,1201571
SM-C04-35;Montiel 102, TANDIL;5;11;-37,3273341;-59,1200118
SM-C04-36;Montiel 90, TANDIL;0;16;-37,3274673;-59,1196756
SM-C04-39;Avellaneda 1486, TANDIL;11;5;-37,3284123;-59,1194765
SM-C05-43;Avellaneda 1396, TANDIL;2;14;-37,32919833;-59,12063829
SM-C06-08;Roca 797, TANDIL;11;5;-37,320078;-59,1275998
SM-C06-12;Roca 693, TANDIL;3;13;-37,32125067;-59,12691137
SM-C06-15;Roca 605, TANDIL;3;13;-37,32229422;-59,12633124
SM-C06-27;General Roca 302, TANDIL;1;15;-37,3261091;-59,1242343
SM-C06-35;Roca 102, TANDIL;4;12;-37,3284219;-59,1227677
SM-C06-37;Roca 28, TANDIL;0;8;-37,3293047;-59,122271
SM-C07-37;Alsina 32, TANDIL;2;6;-37,3298869;-59,1236206
SM-C08-05;4 De Abril 833, TANDIL;0;8;-37,3208051;-59,1307661
SM-C09-27;Santamarina 322, TANDIL;1;15;-37,3275441;-59,1288687
SM-C09-28;Santamarina 287, TANDIL;1;15;-37,32787318;-59,12838118
SM-C09-29;Santamarina 265, TANDIL;0;8;-37,32822561;-59,12821524
SM-C09-31;Santamarina 217, TANDIL;3;13;-37,329064;-59,1279198
SM-C10-09;General Paz 743, TANDIL;0;8;-37,3230549;-59,13334527
SM-C10-11;General Paz 726, TANDIL;4;12;-37,3231446;-59,1332539
SM-C10-13;General Paz 649, TANDIL;3;13;-37,3241229;-59,1327444
SM-C10-17;General Paz 570, TANDIL;2;14;-37,32513635;-59,13218404
SM-C10-20;General Paz 494, TANDIL;1;15;-37,32593233;-59,13163725
SM-C02-42;Avellaneda 1638, TANDIL;2;14;-37,32784022;-59,11706177
SM-C05-44;11 De Septiembre 37, TANDIL;2;6;-37,32872522;-59,12072028
SM-C01-10;Av Buzón 752, TANDIL;5;3;-37,3179125;-59,1201491
SM-C09-18-DV;Belgrano 972, TANDIL;2;6;-37,3267788;-59,1298073
SM-C09-30-DV;Av. Santamarina 149, TANDIL;3;5;-37,329416;-59,1272186
SM-C09-39-DV;Avellaneda 1066, TANDIL;6;10;-37,3309443;-59,1255052
